ons_spss_code,ons_spss_label,dcms_code,dcms_label,dcms_code2,dcms_label2
4,AFGHANISTAN,21,Middle East & Asia,3,NON EU
8,ALBANIA,15,Albania,3,NON EU
10,ANTARCTICA,22,Other World,3,NON EU
12,ALGERIA,5,Africa ex SA,3,NON EU
16,AMERICAN SAMOA,22,Other World,3,NON EU
20,ANDORRA,19,Other Europe,3,NON EU
24,ANGOLA,5,Africa ex SA,3,NON EU
28,ANTIGUA AND BARBUDA,20,Americas,3,NON EU
31,AZERBAIJAN,19,Other Europe,3,NON EU
32,ARGENTINA,20,Americas,3,NON EU
36,AUSTRALIA,7,Australia & NZ,3,NON EU
40,AUSTRIA,2,EU14,2,EU
44,"BAHAMAS, THE",20,Americas,3,NON EU
48,BAHRAIN,21,Middle East & Asia,3,NON EU
50,BANGLADESH,9,Pakistan & Banglalesh,3,NON EU
51,ARMENIA,19,Other Europe,3,NON EU
52,BARBADOS,20,Americas,3,NON EU
56,BELGIUM,2,EU14,2,EU
60,BERMUDA,20,Americas,3,NON EU
64,BHUTAN,21,Middle East & Asia,3,NON EU
68,BOLIVIA,20,Americas,3,NON EU
70,BOSNIA AND HERZEGOVINA,16,Bosnia & Herzegovina,3,NON EU
72,BOTSWANA,5,Africa ex SA,3,NON EU
74,BOUVET ISLAND,22,Other World,3,NON EU
76,BRAZIL,20,Americas,3,NON EU
84,BELIZE,20,Americas,3,NON EU
86,BRITISH INDIAN OCEAN TERRITORY,22,Other World,3,NON EU
90,SOLOMON ISLANDS,22,Other World,3,NON EU
92,BRITISH VIRGIN ISLANDS,20,Americas,3,NON EU
96,BRUNEI,21,Middle East & Asia,3,NON EU
100,BULGARIA,10,Romania & Bulgaria,2,EU
104,BURMA,21,Middle East & Asia,3,NON EU
108,BURUNDI,5,Africa ex SA,3,NON EU
112,BELARUS,19,Other Europe,3,NON EU
116,CAMBODIA,21,Middle East & Asia,3,NON EU
120,CAMEROON,5,Africa ex SA,3,NON EU
124,CANADA,20,Americas,3,NON EU
132,CAPE VERDE,5,Africa ex SA,3,NON EU
136,CAYMAN ISLANDS,20,Americas,3,NON EU
140,CENTRAL AFRICAN REPUBLIC,5,Africa ex SA,3,NON EU
144,SRI LANKA,21,Middle East & Asia,3,NON EU
148,CHAD,5,Africa ex SA,3,NON EU
152,CHILE,20,Americas,3,NON EU
156,CHINA,21,Middle East & Asia,3,NON EU
158,CHINA (TAIWAN),21,Middle East & Asia,3,NON EU
162,CHRISTMAS ISLAND,22,Other World,3,NON EU
166,COCOS (KEELING) ISLANDS,22,Other World,3,NON EU
170,COLOMBIA,20,Americas,3,NON EU
174,COMOROS,5,Africa ex SA,3,NON EU
175,MAYOTTE,5,Africa ex SA,3,NON EU
178,CONGO,5,Africa ex SA,3,NON EU
180,CONGO (DEMOCRATIC REPUBLIC),5,Africa ex SA,3,NON EU
184,COOK ISLANDS,22,Other World,3,NON EU
188,COSTA RICA,20,Americas,3,NON EU
191,CROATIA,12,Croatia,2,EU
192,CUBA,20,Americas,3,NON EU
203,CZECH REPUBLIC,3,EUA8,2,EU
204,BENIN,5,Africa ex SA,3,NON EU
208,DENMARK,2,EU14,2,EU
212,DOMINICA,20,Americas,3,NON EU
214,DOMINICAN REPUBLIC,20,Americas,3,NON EU
218,ECUADOR,20,Americas,3,NON EU
222,EL SALVADOR,20,Americas,3,NON EU
226,EQUATORIAL GUINEA,5,Africa ex SA,3,NON EU
231,ETHIOPIA,5,Africa ex SA,3,NON EU
232,ERITREA,5,Africa ex SA,3,NON EU
233,ESTONIA,3,EUA8,2,EU
234,FAROE ISLANDS,19,Other Europe,3,NON EU
238,FALKLAND ISLANDS,20,Americas,3,NON EU
239,SOUTH GEORGIA AND THE SOUTH SANDWICH ISL,22,Other World,3,NON EU
242,FIJI,22,Other World,3,NON EU
246,FINLAND,2,EU14,2,EU
248,?AND ISLANDS,19,Other Europe,3,NON EU
250,FRANCE,2,EU14,2,EU
254,FRENCH GUIANA,20,Americas,3,NON EU
258,FRENCH POLYNESIA,22,Other World,3,NON EU
260,FRENCH SOUTHERN TERRITORIES,22,Other World,3,NON EU
262,DJIBOUTI,5,Africa ex SA,3,NON EU
266,GABON,5,Africa ex SA,3,NON EU
268,GEORGIA,19,Other Europe,3,NON EU
270,"GAMBIA, THE",5,Africa ex SA,3,NON EU
275,WEST BANK (INCLUDING EAST JERUSALEM) AND,21,Middle East & Asia,3,NON EU
276,GERMANY,2,EU14,2,EU
288,GHANA,5,Africa ex SA,3,NON EU
292,GIBRALTAR,19,Other Europe,3,NON EU
296,KIRIBATI,22,Other World,3,NON EU
300,GREECE,2,EU14,2,EU
304,GREENLAND,20,Americas,3,NON EU
308,GRENADA,20,Americas,3,NON EU
312,GUADELOUPE,20,Americas,3,NON EU
316,GUAM,22,Other World,3,NON EU
320,GUATEMALA,20,Americas,3,NON EU
324,GUINEA,5,Africa ex SA,3,NON EU
328,GUYANA,20,Americas,3,NON EU
332,HAITI,20,Americas,3,NON EU
334,HEARD ISLAND AND MCDONALD ISLANDS,22,Other World,3,NON EU
336,VATICAN CITY,19,Other Europe,3,NON EU
340,HONDURAS,20,Americas,3,NON EU
344,HONG KONG (SPECIAL ADMINISTRATIVE REGION,21,Middle East & Asia,3,NON EU
348,HUNGARY,3,EUA8,2,EU
352,ICELAND,19,Other Europe,3,NON EU
356,INDIA,8,India,3,NON EU
360,INDONESIA,21,Middle East & Asia,3,NON EU
364,IRAN,21,Middle East & Asia,3,NON EU
368,IRAQ,21,Middle East & Asia,3,NON EU
372,IRELAND,2,EU14,2,EU
376,ISRAEL,21,Middle East & Asia,3,NON EU
380,ITALY,2,EU14,2,EU
384,IVORY COAST,5,Africa ex SA,3,NON EU
388,JAMAICA,20,Americas,3,NON EU
392,JAPAN,21,Middle East & Asia,3,NON EU
398,KAZAKHSTAN,21,Middle East & Asia,3,NON EU
400,JORDAN,21,Middle East & Asia,3,NON EU
404,KENYA,5,Africa ex SA,3,NON EU
408,KOREA (NORTH),21,Middle East & Asia,3,NON EU
410,KOREA (SOUTH),21,Middle East & Asia,3,NON EU
414,KUWAIT,21,Middle East & Asia,3,NON EU
417,KYRGYZSTAN,21,Middle East & Asia,3,NON EU
418,LAOS,21,Middle East & Asia,3,NON EU
422,LEBANON,21,Middle East & Asia,3,NON EU
426,LESOTHO,5,Africa ex SA,3,NON EU
428,LATVIA,3,EUA8,2,EU
430,LIBERIA,5,Africa ex SA,3,NON EU
434,LIBYA,5,Africa ex SA,3,NON EU
438,LIECHTENSTEIN,19,Other Europe,3,NON EU
440,LITHUANIA,3,EUA8,2,EU
442,LUXEMBOURG,2,EU14,2,EU
446,MACAO (SPECIAL ADMINISTRATIVE REGION OF,21,Middle East & Asia,3,NON EU
450,MADAGASCAR,5,Africa ex SA,3,NON EU
454,MALAWI,5,Africa ex SA,3,NON EU
458,MALAYSIA,21,Middle East & Asia,3,NON EU
462,MALDIVES,21,Middle East & Asia,3,NON EU
466,MALI,5,Africa ex SA,3,NON EU
470,MALTA,11,Cyprus & Malta,2,EU
474,MARTINIQUE,20,Americas,3,NON EU
478,MAURITANIA,5,Africa ex SA,3,NON EU
480,MAURITIUS,5,Africa ex SA,3,NON EU
484,MEXICO,20,Americas,3,NON EU
492,MONACO,2,EU14,2,EU
496,MONGOLIA,21,Middle East & Asia,3,NON EU
498,MOLDOVA,19,Other Europe,3,NON EU
499,MONTENEGRO,17,Montenegro,3,NON EU
500,MONTSERRAT,20,Americas,3,NON EU
504,MOROCCO,5,Africa ex SA,3,NON EU
508,MOZAMBIQUE,5,Africa ex SA,3,NON EU
512,OMAN,21,Middle East & Asia,3,NON EU
516,NAMIBIA,5,Africa ex SA,3,NON EU
520,NAURU,22,Other World,3,NON EU
524,NEPAL,21,Middle East & Asia,3,NON EU
528,NETHERLANDS,2,EU14,2,EU
530,NETHERLANDS ANTILLES,20,Americas,3,NON EU
531,CURACAO,,,,
533,ARUBA,20,Americas,3,NON EU
540,NEW CALEDONIA,22,Other World,3,NON EU
548,VANUATU,22,Other World,3,NON EU
554,NEW ZEALAND,7,Australia & NZ,3,NON EU
558,NICARAGUA,20,Americas,3,NON EU
562,NIGER,5,Africa ex SA,3,NON EU
566,NIGERIA,5,Africa ex SA,3,NON EU
570,NIUE,22,Other World,3,NON EU
574,NORFOLK ISLAND,22,Other World,3,NON EU
578,NORWAY,19,Other Europe,3,NON EU
580,NORTHERN MARIANA ISLANDS,22,Other World,3,NON EU
581,UNITED STATES MINOR OUTLYING ISLANDS,22,Other World,3,NON EU
583,MICRONESIA,22,Other World,3,NON EU
584,MARSHALL ISLANDS,22,Other World,3,NON EU
585,PALAU,22,Other World,3,NON EU
586,PAKISTAN,9,Pakistan & Banglalesh,3,NON EU
591,PANAMA,20,Americas,3,NON EU
598,PAPUA NEW GUINEA,22,Other World,3,NON EU
600,PARAGUAY,20,Americas,3,NON EU
604,PERU,20,Americas,3,NON EU
608,PHILIPPINES,21,Middle East & Asia,3,NON EU
612,"PITCAIRN, HENDERSON, DUCIE AND OENO ISLA",22,Other World,3,NON EU
616,POLAND,3,EUA8,2,EU
620,PORTUGAL,2,EU14,2,EU
624,GUINEA-BISSAU,5,Africa ex SA,3,NON EU
626,EAST TIMOR,21,Middle East & Asia,3,NON EU
630,PUERTO RICO,20,Americas,3,NON EU
634,QATAR,21,Middle East & Asia,3,NON EU
638,R?NION,5,Africa ex SA,3,NON EU
642,ROMANIA,10,Romania & Bulgaria,2,EU
643,RUSSIA,19,Other Europe,3,NON EU
646,RWANDA,5,Africa ex SA,3,NON EU
654,ST HELENA,5,Africa ex SA,3,NON EU
659,ST KITTS AND NEVIS,20,Americas,3,NON EU
660,ANGUILLA,20,Americas,3,NON EU
662,ST LUCIA,20,Americas,3,NON EU
663,ST MARTIN,,,,
666,ST PIERRE AND MIQUELON,20,Americas,3,NON EU
670,ST VINCENT AND THE GRENADINES,20,Americas,3,NON EU
674,SAN MARINO,19,Other Europe,3,NON EU
678,SAO TOME AND PRINCIPE,5,Africa ex SA,3,NON EU
682,SAUDI ARABIA,21,Middle East & Asia,3,NON EU
686,SENEGAL,5,Africa ex SA,3,NON EU
688,SERBIA,18,Serbia,3,NON EU
690,SEYCHELLES,5,Africa ex SA,3,NON EU
694,SIERRA LEONE,5,Africa ex SA,3,NON EU
702,SINGAPORE,21,Middle East & Asia,3,NON EU
703,SLOVAKIA,3,EUA8,2,EU
704,VIETNAM,21,Middle East & Asia,3,NON EU
705,SLOVENIA,3,EUA8,2,EU
706,SOMALIA,5,Africa ex SA,3,NON EU
710,SOUTH AFRICA,6,South America,3,NON EU
716,ZIMBABWE,5,Africa ex SA,3,NON EU
728,SOUTH SUDAN,0,,,
729,SUDAN,0,,,
732,WESTERN SAHARA,5,Africa ex SA,3,NON EU
736,SUDAN,5,Africa ex SA,3,NON EU
740,SURINAM,20,Americas,3,NON EU
744,SVALBARD AND JAN MAYEN,19,Other Europe,3,NON EU
748,SWAZILAND,5,Africa ex SA,3,NON EU
752,SWEDEN,2,EU14,2,EU
756,SWITZERLAND,19,Other Europe,3,NON EU
760,SYRIA,21,Middle East & Asia,3,NON EU
762,TAJIKISTAN,21,Middle East & Asia,3,NON EU
764,THAILAND,21,Middle East & Asia,3,NON EU
768,TOGO,5,Africa ex SA,3,NON EU
772,TOKELAU,22,Other World,3,NON EU
776,TONGA,22,Other World,3,NON EU
780,TRINIDAD AND TOBAGO,20,Americas,3,NON EU
784,UNITED ARAB EMIRATES,21,Middle East & Asia,3,NON EU
788,TUNISIA,5,Africa ex SA,3,NON EU
792,TURKEY,14,Turkey,3,NON EU
795,TURKMENISTAN,21,Middle East & Asia,3,NON EU
796,TURKS AND CAICOS ISLANDS,20,Americas,3,NON EU
798,TUVALU,22,Other World,3,NON EU
800,UGANDA,5,Africa ex SA,3,NON EU
804,UKRAINE,19,Other Europe,3,NON EU
807,MACEDONIA,13,Macedonia,3,NON EU
818,EGYPT,5,Africa ex SA,3,NON EU
831,GUERNSEY,,,,
832,JERSEY,,,,
833,ISLE OF MAN,,,,
834,TANZANIA,5,Africa ex SA,3,NON EU
840,UNITED STATES,4,USA,3,NON EU
850,UNITED STATES VIRGIN ISLANDS,20,Americas,3,NON EU
854,BURKINA,5,Africa ex SA,3,NON EU
858,URUGUAY,20,Americas,3,NON EU
860,UZBEKISTAN,21,Middle East & Asia,3,NON EU
862,VENEZUELA,20,Americas,3,NON EU
876,WALLIS AND FUTUNA,22,Other World,3,NON EU
882,SAMOA,22,Other World,3,NON EU
887,YEMAN,21,Middle East & Asia,3,NON EU
891,KOSOVA AND METOHIA,19,Other Europe,3,NON EU
894,ZAMBIA,5,Africa ex SA,3,NON EU
901,CYPRUS (EUROPEAN UNION),11,Cyprus & Malta,2,EU
902,CYPRUS (NON-EUROPEAN UNION),19,Other Europe,3,NON EU
903,CYPRUS (NOT OTHERWISE SPECIFIED),19,Other Europe,3,NON EU
911,SPAIN (EXCEPT CANARY ISLANDS),2,EU14,2,EU
912,CANARY ISLANDS,2,EU14,2,EU
913,SPAIN NOT OTHERWISE SPECIFIED,2,EU14,2,EU
921,ENGLAND,,,,
922,NORTHERN IRELAND,,,,
923,SCOTLAND,,,,
924,WALES,,,,
925,GREAT BRITAIN NOT OTHERWISE SPECIFIED,,,,
926,UNITED KINGDOM NOT OTHERWISE SPECIFIED,1,UK,1,UK
931,CHANNEL ISLANDS NOT OTHERWISE SPECIFIED,,,,
951,KOSOVO,0,,,
971,CZECHOSLOVAKIA NOT OTHERWISE SPECIFIED,3,EUA8,2,EU
972,UNION OF SOVIET SOCIALIST REPUBLICS NOT,19,Other Europe,3,NON EU
973,YUGOSLAVIA NOT OTHERWISE SPECIFIED,19,Other Europe,3,NON EU
974,SERBIA AND MONTENEGRO NOT OTHERWISE SPEC,19,Other Europe,3,NON EU
981,EUROPE NOT OTHERWISE SPECIFIED,19,Other Europe,3,NON EU
982,AFRICA NOT OTHERWISE SPECIFIED,5,Africa ex SA,3,NON EU
983,MIDDLE EAST NOT OTHERWISE SPECIFIED,21,Middle East & Asia,3,NON EU
984,ASIA (EXCEPT MIDDLE EAST) NOT OTHERWISE,21,Middle East & Asia,3,NON EU
985,NORTH AMERICA NOT OTHERWISE SPECIFIED,20,Americas,3,NON EU
986,CENTRAL AMERICA NOT OTHERWISE SPECIFIED,20,Americas,3,NON EU
987,SOUTH AMERICA NOT OTHERWISE SPECIFIED,20,Americas,3,NON EU
988,CARIBBEAN NOT OTHERWISE SPECIFIED,20,Americas,3,NON EU
989,ANTARCTICA AND OCEANIA NOT OTHERWISE SPE,22,Other World,3,NON EU
990,NETHERLANDS ANTILLES NOT OTHERWISE SPECIFIED,,,,
991,AT SEA,22,Other World,3,NON EU
992,IN THE AIR,22,Other World,3,NON EU
